evolution_id,pokemon_id,stage,name,text,image,from_pokemon,form_name
0001_0_0,0001,未进化,妙蛙种子,,001Bulbasaur_Dream.png,,
0001_0_1,0001,1阶进化,妙蛙草,等级16以上,002Ivysaur_Dream.png,妙蛙种子,
0001_0_2,0001,2阶进化,妙蛙花,等级32以上,003Venusaur_Dream.png,妙蛙草,
0002_0_0,0002,未进化,妙蛙种子,,001Bulbasaur_Dream.png,,
0002_0_1,0002,1阶进化,妙蛙草,等级16以上,002Ivysaur_Dream.png,妙蛙种子,
0002_0_2,0002,2阶进化,妙蛙花,等级32以上,003Venusaur_Dream.png,妙蛙草,
0003_0_0,0003,未进化,妙蛙种子,,001Bulbasaur_Dream.png,,
0003_0_1,0003,1阶进化,妙蛙草,等级16以上,002Ivysaur_Dream.png,妙蛙种子,
0003_0_2,0003,2阶进化,妙蛙花,等级32以上,003Venusaur_Dream.png,妙蛙草,
0004_0_0,0004,未进化,小火龙,,004Charmander_Dream.png,,
0004_0_1,0004,1阶进化,火恐龙,等级16以上,005Charmeleon_Dream.png,小火龙,
0004_0_2,0004,2阶进化,喷火龙,等级36以上,006Charizard_Dream.png,火恐龙,
0005_0_0,0005,未进化,小火龙,,004Charmander_Dream.png,,
0005_0_1,0005,1阶进化,火恐龙,等级16以上,005Charmeleon_Dream.png,小火龙,
0005_0_2,0005,2阶进化,喷火龙,等级36以上,006Charizard_Dream.png,火恐龙,
0006_0_0,0006,未进化,小火龙,,004Charmander_Dream.png,,
0006_0_1,0006,1阶进化,火恐龙,等级16以上,005Charmeleon_Dream.png,小火龙,
0006_0_2,0006,2阶进化,喷火龙,等级36以上,006Charizard_Dream.png,火恐龙,
0007_0_0,0007,未进化,杰尼龟,,007Squirtle_Dream.png,,
0007_0_1,0007,1阶进化,卡咪龟,等级16以上,008Wartortle_Dream.png,杰尼龟,
0007_0_2,0007,2阶进化,水箭龟,等级36以上,009Blastoise_Dream.png,卡咪龟,
0008_0_0,0008,未进化,杰尼龟,,007Squirtle_Dream.png,,
0008_0_1,0008,1阶进化,卡咪龟,等级16以上,008Wartortle_Dream.png,杰尼龟,
0008_0_2,0008,2阶进化,水箭龟,等级36以上,009Blastoise_Dream.png,卡咪龟,
0009_0_0,0009,未进化,杰尼龟,,007Squirtle_Dream.png,,
0009_0_1,0009,1阶进化,卡咪龟,等级16以上,008Wartortle_Dream.png,杰尼龟,
0009_0_2,0009,2阶进化,水箭龟,等级36以上,009Blastoise_Dream.png,卡咪龟,
