text_id,pokemon_id,generation,version,group,text
1,0001,第一世代,红,宝可梦 红／绿／蓝,从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。
2,0001,第一世代,绿,宝可梦 红／绿／蓝,从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。
3,0001,第一世代,蓝,宝可梦 红／绿／蓝,据说在它出生的时候，背上就种有一个会和它身体一同成长的神奇种子。
4,0001,第一世代,皮卡丘,宝可梦 皮卡丘,背上的种子里储存着营养，所以即使好几天不吃东西也可以活得好好的！
5,0001,第二世代,金,宝可梦 金／银,它背上的种子充满了营养。那种子跟着它的身体慢慢成长。*
6,0001,第二世代,银,宝可梦 金／银,从出生的时候开始，背上就背着一颗种子。每当身体长大时，种子也会跟着变大。
7,0001,第二世代,水晶版,宝可梦 水晶版,在出生后的一段时间内，它会吸收背上种子里储存着的营养成长。
8,0001,第三世代,红宝石,宝可梦 红宝石／蓝宝石,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。
9,0001,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。
10,0001,第三世代,绿宝石,宝可梦 绿宝石,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。
11,0001,第三世代,火红,宝可梦 火红／叶绿,从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。
12,0001,第三世代,叶绿,宝可梦 火红／叶绿,据说在它出生的时候，背上就种有一个会和它身体一同成长的神奇种子。
13,0001,第四世代,钻石,宝可梦 钻石／珍珠,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
14,0001,第四世代,珍珠,宝可梦 钻石／珍珠,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
15,0001,第四世代,白金,宝可梦 白金,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
16,0001,第四世代,心金,宝可梦 心金／魂银,它背上的种子充满了营养。那种子跟着它的身体慢慢成长。*
17,0001,第四世代,魂银,宝可梦 心金／魂银,从出生的时候开始，背上就背着一颗种子。每当身体长大时，种子也会跟着变大。
18,0001,第五世代,黑,宝可梦 黑／白,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
19,0001,第五世代,白,宝可梦 黑／白,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
20,0001,第五世代,黑２,宝可梦 黑２／白２,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
21,0001,第五世代,白２,宝可梦 黑２／白２,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
22,0001,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,据说在它出生的时候，背上就种有一个会和它身体一同成长的神奇种子。
23,0001,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
24,0001,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。
25,0001,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。
26,0001,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,背上的种子里储存着营养，所以即使好几天不吃东西也可以活得好好的！
27,0001,第七世代,Let's Go! 伊布,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,背上的种子里储存着营养，所以即使好几天不吃东西也可以活得好好的！
28,0001,第八世代,剑,宝可梦 剑／盾,从出生的时候开始，背上就有一颗植物种子。这颗种子会渐渐地长大。
29,0001,第八世代,盾,宝可梦 剑／盾,在出生后的一段时间内，它会吸收背上种子里储存着的营养成长。
30,0001,第八世代,晶灿钻石,宝可梦 晶灿钻石／明亮珍珠,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
31,0001,第八世代,明亮珍珠,宝可梦 晶灿钻石／明亮珍珠,在出生后的一段时间里，它会从背上的种子里汲取营养茁壮成长。
32,0001,第九世代,朱,宝可梦 朱／紫,在出生后的一段时间内，它会吸收背上种子里储存着的营养成长。
33,0001,第九世代,紫,宝可梦 朱／紫,从出生的时候开始，背上就背着一颗种子。每当身体长大时，种子也会跟着变大。
1,0002,第一世代,红,宝可梦 红／绿／蓝,据说长在背上的花苞在吸收足够的养分后，就会开出大大的花朵。
2,0002,第一世代,绿,宝可梦 红／绿／蓝,据说长在背上的花苞在吸收足够的养分后，就会开出大大的花朵。
3,0002,第一世代,蓝,宝可梦 红／绿／蓝,当背上的花苞长大之后，它似乎就无法再用两只脚站立起来了。
4,0002,第一世代,皮卡丘,宝可梦 皮卡丘,它的花苞会在吸收养分后长大。当花苞发出香味时，就预示着它快要开花了。
5,0002,第二世代,金,宝可梦 金／银,沐浴在阳光下越久，身体内会涌出越多力量，背上的花苞也会渐渐成长。
6,0002,第二世代,银,宝可梦 金／银,如果从背上的花蕾开始飘散出甜甜的香味，就表示快要开出巨大的花朵了。*
7,0002,第二世代,水晶版,宝可梦 水晶版,背上的花苞会在吸收养分后鼓起。快开花时会散发出很香的味道。
8,0002,第三世代,红宝石,宝可梦 红宝石／蓝宝石,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。
9,0002,第三世代,蓝宝石,宝可梦 红宝石／蓝宝石,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。
10,0002,第三世代,绿宝石,宝可梦 绿宝石,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。
11,0002,第三世代,火红,宝可梦 火红／叶绿,据说长在背上的花苞在吸收足够的养分后，就会开出大大的花朵。
12,0002,第三世代,叶绿,宝可梦 火红／叶绿,当背上的花苞长大之后，它似乎就无法再用两只脚站立起来了。
13,0002,第四世代,钻石,宝可梦 钻石／珍珠,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
14,0002,第四世代,珍珠,宝可梦 钻石／珍珠,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
15,0002,第四世代,白金,宝可梦 白金,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
16,0002,第四世代,心金,宝可梦 心金／魂银,沐浴在阳光下越久，身体内会涌出越多力量，背上的花苞也会渐渐成长。
17,0002,第四世代,魂银,宝可梦 心金／魂银,如果从背上的花蕾开始飘散出甜甜的香味，就表示快要开出巨大的花朵了。*
18,0002,第五世代,黑,宝可梦 黑／白,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
19,0002,第五世代,白,宝可梦 黑／白,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
20,0002,第五世代,黑２,宝可梦 黑２／白２,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
21,0002,第五世代,白２,宝可梦 黑２／白２,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
22,0002,第六世代,Ｘ,宝可梦 Ｘ／Ｙ,据说长在背上的花苞在吸收足够的养分后，就会开出大大的花朵。
23,0002,第六世代,Ｙ,宝可梦 Ｘ／Ｙ,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
24,0002,第六世代,欧米伽红宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。
25,0002,第六世代,阿尔法蓝宝石,宝可梦 欧米伽红宝石／阿尔法蓝宝石,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。
26,0002,第七世代,Let's Go! 皮卡丘,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,它的花苞会在吸收养分后长大。当花苞发出香味时，就预示着它快要开花了。
27,0002,第七世代,Let's Go! 伊布,精灵宝可梦 Let's Go! 皮卡丘／Let's Go! 伊布,它的花苞会在吸收养分后长大。当花苞发出香味时，就预示着它快要开花了。
28,0002,第八世代,剑,宝可梦 剑／盾,当背上的花苞长大之后，它似乎就无法再用两只脚站立起来了。
29,0002,第八世代,盾,宝可梦 剑／盾,沐浴在阳光下越久，身体内会涌出越多力量，背上的花苞也会渐渐成长。
30,0002,第八世代,晶灿钻石,宝可梦 晶灿钻石／明亮珍珠,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
31,0002,第八世代,明亮珍珠,宝可梦 晶灿钻石／明亮珍珠,当它背上的花苞开始鼓起时，就会飘出一股甜美的香气。这是大花即将盛开的前兆。
32,0002,第九世代,朱,宝可梦 朱／紫,沐浴在阳光下越久，身体内会涌出越多力量，背上的花苞也会渐渐成长。
