form_id,pokemon_id,form_name,is_mega,is_gmax,image,types,genus,height,weight,gender_rate,shape,color,catch_rate_number,catch_rate_percentage,egg_groups
0001_0,0001,妙蛙种子,False,False,0001-妙蛙种子.png,草;毒,种子宝可梦,0.7m,6.9kg,"{'male': '87.5%', 'female': '12.5%'}",四足兽形,绿色,45,5.9%,怪兽;植物
0002_0,0002,妙蛙草,False,False,0002-妙蛙草.png,草;毒,种子宝可梦,1.0m,13.0kg,"{'male': '87.5%', 'female': '12.5%'}",四足兽形,绿色,45,5.9%,怪兽;植物
0003_0,0003,妙蛙花,False,False,0003-妙蛙花.png,草;毒,种子宝可梦,2.0m,100.0kg,"{'male': '87.5%', 'female': '12.5%'}",四足兽形,绿色,45,5.9%,怪兽;植物
0003_1,0003,超级妙蛙花,True,False,0003.1-超级妙蛙花.png,草;毒,种子宝可梦,2.4m,155.5kg,"{'male': '87.5%', 'female': '12.5%'}",四足兽形,绿色,45,5.9%,怪兽;植物
0003_2,0003,超极巨化妙蛙花,False,True,0003.2-超极巨化妙蛙花.png,草;毒,种子宝可梦,24.0~??.?m,???.?kg,"{'male': '87.5%', 'female': '12.5%'}",四足兽形,绿色,45,5.9%,怪兽;植物
0004_0,0004,小火龙,False,False,0004-小火龙.png,火,蜥蜴宝可梦,0.6m,8.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,红色,45,5.9%,怪兽;龙
0005_0,0005,火恐龙,False,False,0005-火恐龙.png,火,火焰宝可梦,1.1m,19.0kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,红色,45,5.9%,怪兽;龙
0006_0,0006,喷火龙,False,False,0006-喷火龙.png,火;飞行,火焰宝可梦,1.7m,90.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,红色,45,5.9%,怪兽;龙
0006_1,0006,超级喷火龙Ｘ,True,False,0006.1-超级喷火龙Ｘ.png,火;龙,火焰宝可梦,1.7m,110.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,黑色,45,5.9%,怪兽;龙
0006_2,0006,超级喷火龙Ｙ,True,False,0006.2-超级喷火龙Ｙ.png,火;飞行,火焰宝可梦,1.7m,100.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,红色,45,5.9%,怪兽;龙
0006_3,0006,超极巨化喷火龙,False,True,0006.3-超极巨化喷火龙.png,火;飞行,火焰宝可梦,28.0~??.?m,???.?kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,红色,45,5.9%,怪兽;龙
0007_0,0007,杰尼龟,False,False,0007-杰尼龟.png,水,小龟宝可梦,0.5m,9.0kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,蓝色,45,5.9%,怪兽;水中1
0008_0,0008,卡咪龟,False,False,0008-卡咪龟.png,水,龟宝可梦,1.0m,22.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,蓝色,45,5.9%,怪兽;水中1
0009_0,0009,水箭龟,False,False,0009-水箭龟.png,水,甲壳宝可梦,1.6m,85.5kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,蓝色,45,5.9%,怪兽;水中1
0009_1,0009,超级水箭龟,True,False,0009.1-超级水箭龟.png,水,甲壳宝可梦,1.6m,101.1kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,蓝色,45,5.9%,怪兽;水中1
0009_2,0009,超极巨化水箭龟,False,True,0009.2-超极巨化水箭龟.png,水,甲壳宝可梦,25.0~??.?m,???.?kg,"{'male': '87.5%', 'female': '12.5%'}",双足兽形,蓝色,45,5.9%,怪兽;水中1
0010_0,0010,绿毛虫,False,False,0010-绿毛虫.png,虫,虫宝宝宝可梦,0.3m,2.9kg,"{'male': '50%', 'female': '50%'}",虫形,绿色,255,33.3%,虫
0011_0,0011,铁甲蛹,False,False,0011-铁甲蛹.png,虫,蛹宝可梦,0.7m,9.9kg,"{'male': '50%', 'female': '50%'}",蛇形,绿色,120,15.7%,虫
